Begin Timestamp,End Timestamp,Begin Date,End Date,Domain,Messages
1526421600.0,1526425199.0,2018-05-15 22:00 GMT,2018-05-15 22:59 GMT,bancodechile.cl,148
1526421600.0,1526425199.0,2018-05-15 22:00 GMT,2018-05-15 22:59 GMT,unknown domain,63
1526425200.0,1526428799.0,2018-05-15 23:00 GMT,2018-05-15 23:59 GMT,bancodechile.cl,46
1526425200.0,1526428799.0,2018-05-15 23:00 GMT,2018-05-15 23:59 GMT,unknown domain,23
1526428800.0,1526432399.0,2018-05-16 00:00 GMT,2018-05-16 00:59 GMT,bancodechile.cl,38
1526428800.0,1526432399.0,2018-05-16 00:00 GMT,2018-05-16 00:59 GMT,unknown domain,7
1526432400.0,1526435999.0,2018-05-16 01:00 GMT,2018-05-16 01:59 GMT,bancodechile.cl,133
1526432400.0,1526435999.0,2018-05-16 01:00 GMT,2018-05-16 01:59 GMT,unknown domain,11
1526436000.0,1526439599.0,2018-05-16 02:00 GMT,2018-05-16 02:59 GMT,bancodechile.cl,292
1526436000.0,1526439599.0,2018-05-16 02:00 GMT,2018-05-16 02:59 GMT,unknown domain,4
1526439600.0,1526443199.0,2018-05-16 03:00 GMT,2018-05-16 03:59 GMT,bancodechile.cl,233
1526439600.0,1526443199.0,2018-05-16 03:00 GMT,2018-05-16 03:59 GMT,unknown domain,8
1526443200.0,1526446799.0,2018-05-16 04:00 GMT,2018-05-16 04:59 GMT,bancodechile.cl,203
1526443200.0,1526446799.0,2018-05-16 04:00 GMT,2018-05-16 04:59 GMT,hispasec.com,4
1526443200.0,1526446799.0,2018-05-16 04:00 GMT,2018-05-16 04:59 GMT,unknown domain,4
1526446800.0,1526450399.0,2018-05-16 05:00 GMT,2018-05-16 05:59 GMT,bancodechile.cl,305
1526446800.0,1526450399.0,2018-05-16 05:00 GMT,2018-05-16 05:59 GMT,unknown domain,4
1526450400.0,1526453999.0,2018-05-16 06:00 GMT,2018-05-16 06:59 GMT,bancodechile.cl,97
1526450400.0,1526453999.0,2018-05-16 06:00 GMT,2018-05-16 06:59 GMT,unknown domain,3
1526454000.0,1526457599.0,2018-05-16 07:00 GMT,2018-05-16 07:59 GMT,bancodechile.cl,23
1526454000.0,1526457599.0,2018-05-16 07:00 GMT,2018-05-16 07:59 GMT,unknown domain,3
1526457600.0,1526461199.0,2018-05-16 08:00 GMT,2018-05-16 08:59 GMT,bancodechile.cl,11
1526457600.0,1526461199.0,2018-05-16 08:00 GMT,2018-05-16 08:59 GMT,unknown domain,3
1526461200.0,1526464799.0,2018-05-16 09:00 GMT,2018-05-16 09:59 GMT,bancodechile.cl,15
1526461200.0,1526464799.0,2018-05-16 09:00 GMT,2018-05-16 09:59 GMT,unknown domain,14
1526464800.0,1526468399.0,2018-05-16 10:00 GMT,2018-05-16 10:59 GMT,bancodechile.cl,14
1526464800.0,1526468399.0,2018-05-16 10:00 GMT,2018-05-16 10:59 GMT,hispasec.com,2
1526464800.0,1526468399.0,2018-05-16 10:00 GMT,2018-05-16 10:59 GMT,unknown domain,8
1526468400.0,1526471999.0,2018-05-16 11:00 GMT,2018-05-16 11:59 GMT,bancodechile.cl,38
1526468400.0,1526471999.0,2018-05-16 11:00 GMT,2018-05-16 11:59 GMT,unknown domain,14
1526472000.0,1526475599.0,2018-05-16 12:00 GMT,2018-05-16 12:59 GMT,bancodechile.cl,71
1526472000.0,1526475599.0,2018-05-16 12:00 GMT,2018-05-16 12:59 GMT,unknown domain,13
1526475600.0,1526479199.0,2018-05-16 13:00 GMT,2018-05-16 13:59 GMT,bancodechile.cl,50
1526475600.0,1526479199.0,2018-05-16 13:00 GMT,2018-05-16 13:59 GMT,unknown domain,23
1526479200.0,1526482799.0,2018-05-16 14:00 GMT,2018-05-16 14:59 GMT,bancodechile.cl,52
1526479200.0,1526482799.0,2018-05-16 14:00 GMT,2018-05-16 14:59 GMT,unknown domain,14
1526482800.0,1526486399.0,2018-05-16 15:00 GMT,2018-05-16 15:59 GMT,bancodechile.cl,123
1526482800.0,1526486399.0,2018-05-16 15:00 GMT,2018-05-16 15:59 GMT,unknown domain,12
1526486400.0,1526489999.0,2018-05-16 16:00 GMT,2018-05-16 16:59 GMT,bancodechile.cl,257
1526486400.0,1526489999.0,2018-05-16 16:00 GMT,2018-05-16 16:59 GMT,unknown domain,16
1526490000.0,1526493599.0,2018-05-16 17:00 GMT,2018-05-16 17:59 GMT,bancodechile.cl,655
1526490000.0,1526493599.0,2018-05-16 17:00 GMT,2018-05-16 17:59 GMT,unknown domain,38
1526493600.0,1526497199.0,2018-05-16 18:00 GMT,2018-05-16 18:59 GMT,bancodechile.cl,70
1526493600.0,1526497199.0,2018-05-16 18:00 GMT,2018-05-16 18:59 GMT,unknown domain,5
1527739200.0,1527825599.0,2018-05-31 04:00 GMT,2018-06-01 03:59 GMT,bancodechile.cl,1716
1527739200.0,1527825599.0,2018-05-31 04:00 GMT,2018-06-01 03:59 GMT,hispasec.com,3
1527739200.0,1527825599.0,2018-05-31 04:00 GMT,2018-06-01 03:59 GMT,unknown domain,756

